"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000187778","ENSG00000164405",0.32728669388861,0,"UQCRQ","MCRS1"
"ENSG00000172534","ENSG00000225234",0.419247822447393,0,"TRAPPC12-AS1","HCFC1"
"ENSG00000147162","ENSG00000259562",0.383534649881691,0,"RP11-762H8.2","OGT"
"ENSG00000187778","ENSG00000138111",0.417187262809516,0,"MFSD13A","MCRS1"
"ENSG00000147162","ENSG00000198089",0.376234865904732,0,"SFI1","OGT"
"ENSG00000187778","ENSG00000103496",0.372486288519027,0,"STX4","MCRS1"
"ENSG00000187778","ENSG00000165733",0.42148900361229,0,"BMS1","MCRS1"
"ENSG00000103510","ENSG00000205629",0.423100004505292,0,"LCMT1","KAT8"
"ENSG00000147162","ENSG00000261879",0.374733214931379,0,"ZNF594-DT","OGT"
"ENSG00000196363","ENSG00000173950",0.402241250145898,0,"XXYLT1","WDR5"
"ENSG00000172534","ENSG00000177082",0.360588612617309,0,"WDR73","HCFC1"
"ENSG00000187778","ENSG00000165724",0.474222538188579,0,"ZMYND19","MCRS1"
"ENSG00000103510","ENSG00000132153",0.424674842195446,0,"DHX30","KAT8"
"ENSG00000196363","ENSG00000121022",0.461001721033162,0,"COPS5","WDR5"
"ENSG00000196363","ENSG00000145016",0.637515688532924,0,"RUBCN","WDR5"
"ENSG00000196363","ENSG00000123685",0.317100011330874,9.78550573904613e-12,"BATF3","WDR5"
"ENSG00000196363","ENSG00000160633",0.655695074746046,0,"SAFB","WDR5"
"ENSG00000120071","ENSG00000189091",0.454339421695229,0,"SF3B3","KANSL1"
"ENSG00000103510","ENSG00000144134",0.386631480713053,0,"RABL2A","KAT8"
"ENSG00000147162","ENSG00000260534",0.401143541387581,0,"RP11-1006G14.4","OGT"
"ENSG00000196363","ENSG00000171311",0.473677763664918,0,"EXOSC1","WDR5"
"ENSG00000187778","ENSG00000213920",0.375641840863791,0,"MDP1","MCRS1"
"ENSG00000187778","ENSG00000165757",0.336953561179973,0,"JCAD","MCRS1"
"ENSG00000103510","ENSG00000158773",0.463413917335172,0,"USF1","KAT8"
