gene	025_08	024_08	025_09	022_06	006_09	013_09	022_09	004_06	001_06	009_09	004_08	031_08	018_06	020_08	023_09	016_07	023_08	039_06	037_08	015_09	016_09	011_09	015_07	018_08	035_06	017_07	012_09	026_09	014_09	017_09	005_09	032_08	021_09	033_08	007_09	016_08	026_08	028_08	030_06	018_05	034_07	032_09	029_09	022_08	036_09	038_09	027_09	033_09	014_08	030_09	003_08	009_07	035_09	017_08	034_06	020_07	007_08	034_08	034_09	031_09	028_09	002_08	004_10	011_10	001_10	006_10	012_10	008_10	010_10	002_10	007_10	024_10	023_10	016_10	028_10	013_10	014_10	015_10	019_10	032_10	018_10	021_10	020_10
X3721851	5.43956	5.45926	5.36004	5.48664	5.359	5.20813	5.30415	5.01241	5.06517	5.44375	5.24766	5.39582	5.18967	5.12192	5.35914	5.03917	4.95313	4.85962	5.15752	5.04798	5.65744	5.46366	5.57373	5.40542	4.91757	5.2583	5.38217	4.94303	5.55324	5.49029	5.5105	5.40138	5.12794	5.15198	5.40363	5.37817	5.54621	5.62715	5.49639	5.20424	5.04223	4.81833	5.4932	5.07639	4.92815	5.29543	5.12298	5.15407	5.23275	5.40787	5.22389	4.87708	5.07196	5.27798	5.24523	5.13151	5.00576	5.55341	5.21707	5.16397	5.10893	4.59146	5.33981	5.11719	5.20484	5.36474	5.14703	5.36989	5.2857	5.05486	5.33354	5.41884	4.93019	5.12918	5.43893	5.51074	5.18382	5.15543	5.08205	5.30799	5.02864	5.13453	5.31224
X3136888	6.35546	6.5979	6.33533	6.41007	6.69832	6.52663	6.6626	6.10793	5.91858	6.27225	7.07027	6.57853	6.13804	6.03031	6.03475	5.79591	5.9772	6.33459	6.29157	6.56717	6.84917	7.00895	6.7421	6.35526	6.38936	5.79426	6.58028	6.71662	6.73892	6.59571	6.78437	6.66805	6.46635	6.48986	6.58741	6.61221	6.31508	6.08404	6.6783	6.02213	6.45582	6.01795	6.68525	6.30275	6.08493	6.69315	6.60615	5.92076	6.16513	6.00448	6.51886	6.50258	6.25627	6.42552	6.26801	6.17065	6.60669	6.8212	6.4959	6.37191	6.81779	6.1557	6.2611	6.38131	6.01624	6.22284	6.4715	6.23313	6.1131	6.65739	6.66985	6.69878	6.45136	6.084	6.05209	6.00172	6.25556	6.50055	6.04402	6.14414	6.65383	6.41743	6.35798
X3442205	6.78485	6.35532	6.17112	6.47892	6.55585	6.38474	6.27704	6.28461	6.1896	6.27411	6.45296	6.60342	6.31124	6.22494	6.28686	6.24217	6.06774	6.08401	6.35881	6.53177	6.57391	6.72406	6.54687	6.29463	6.10132	6.2786	6.56325	6.3242	6.78361	6.42354	6.6454	6.54552	6.40516	6.45629	6.69922	6.70947	6.92047	6.25903	6.49566	6.30571	6.4794	6.44037	6.35811	6.10056	6.39554	6.27274	6.45783	6.23504	6.29885	6.52097	6.31149	6.24643	6.26145	6.19168	6.11379	6.4166	6.42866	6.66817	6.74711	6.60293	6.24297	6.26516	6.48582	5.92802	6.41917	6.51616	6.28768	6.37453	6.33808	6.45326	6.34286	6.31087	6.42661	6.45708	6.49238	6.35838	6.23357	6.50737	6.42483	6.25946	6.25388	6.61265	6.36097
X3661940	9.26003	9.2079	9.16607	9.24619	9.2863	9.26513	9.22237	9.21031	9.31365	9.17121	9.34226	9.40277	9.4674	9.20195	9.32333	9.25088	9.06519	9.12038	9.28749	9.40806	9.40996	9.42304	9.33053	9.29293	9.21704	9.25588	9.42739	9.16162	9.49711	9.29162	9.64291	9.34365	9.25675	9.2712	9.38415	9.26752	9.29434	9.06133	9.22791	9.12619	9.22608	9.22509	9.40697	9.29229	9.17624	9.22886	9.48007	9.24273	9.09355	9.1975	9.2192	9.09078	9.23155	9.26511	9.28714	9.25473	9.04576	9.53736	9.41093	9.30783	9.19706	9.13645	9.27712	9.04704	9.09203	9.22046	9.253	9.16711	9.24935	9.29388	9.31735	9.15531	9.40912	9.2962	9.26943	9.23336	9.21207	9.3809	9.24063	9.17015	9.45612	9.41785	9.20343
X3721926	8.9456	8.52761	8.52098	8.3233	8.675	8.56201	8.47479	8.41275	8.1219	8.21913	8.5491	8.57137	8.2345	8.40164	8.19785	8.18138	7.90541	7.94339	8.51686	8.87521	9.29252	8.96899	8.89747	8.30099	8.43692	8.64887	8.59054	8.1553	8.87992	8.67652	8.89866	8.67618	8.27146	8.53302	8.79206	8.87375	8.8301	8.75033	8.72376	8.28712	7.9435	8.39534	8.78008	8.05141	8.63092	8.77877	8.57362	8.53694	8.25578	8.52783	8.61381	8.16138	8.46085	8.24001	8.30271	8.61282	8.06364	9.15528	8.68379	8.49465	8.58865	8.19711	8.78917	8.25125	8.61505	8.64031	8.44622	8.60391	8.54127	8.62064	8.49244	8.52927	8.62576	8.69347	8.63505	8.52667	8.6027	8.96402	8.5002	8.43789	8.72583	8.77695	8.56734
X3881786	4.5148	4.47153	4.67096	4.80892	4.77034	4.45439	4.66139	4.56234	4.63273	4.77707	4.84442	4.8269	4.80251	4.74899	4.42127	4.96984	4.43356	4.70652	4.40572	4.9081	5.07251	4.81039	4.99523	4.8256	4.56708	4.73764	4.72803	4.5553	5.07325	4.85776	4.75008	4.98574	4.65563	4.79038	4.84111	4.92364	4.7179	4.48369	4.70923	4.76299	4.82141	4.86177	4.70556	4.93045	4.89051	4.64722	4.76316	4.6766	4.8214	4.80061	4.66679	4.70072	4.519	4.83165	4.55605	4.6977	4.65641	4.50586	4.8703	4.95907	4.62595	4.66471	4.67255	4.88628	4.71033	4.9844	4.46865	4.72587	5.03016	4.71516	4.57513	4.27652	4.93249	4.82326	5.05918	4.5525	4.95983	4.79181	4.49669	4.85319	4.80363	4.56726	5.05278
X3686587	4.40551	4.12445	4.32787	4.36977	4.42272	3.95404	4.14114	4.25639	4.08169	4.31009	4.08356	4.28823	4.26283	4.16937	4.06942	4.36038	4.084	4.13573	4.15375	4.26861	4.47914	4.36	4.60521	4.06697	4.1468	4.07504	3.99343	4.16041	4.08669	4.38771	4.8142	4.61709	4.17495	4.2515	3.92221	4.62114	4.36629	4.16158	4.37658	4.01129	4.55037	4.31888	4.10485	4.18145	4.18241	4.14481	4.04169	4.27199	4.41708	4.19079	4.39386	4.34363	4.33029	4.36475	4.35125	4.45031	4.4734	4.51111	4.2993	4.25543	4.13864	4.18382	4.26649	4.09395	4.11166	4.33422	4.15907	4.42552	4.17032	4.07648	3.95643	4.23011	3.98817	4.08152	4.20839	4.26715	4.23224	4.07772	4.49992	4.44283	4.26173	4.3968	4.31212
X3442427	4.94559	4.70305	4.64106	4.96664	4.51942	4.53726	4.45846	4.78104	4.85476	4.54752	4.65581	5.06598	4.58954	4.83687	4.37936	4.64837	4.44548	4.50904	4.52505	4.83984	4.87284	4.97601	4.87445	4.61911	4.80276	4.91909	4.87142	4.51282	4.96686	4.8892	5.01504	4.93287	4.62077	4.64602	4.7827	4.84653	5.31325	4.73924	4.73839	4.8196	4.78369	4.82786	4.664	4.77191	4.86557	4.63395	4.72063	5.04744	4.51738	4.84625	4.78934	4.84863	4.3379	4.70231	4.71582	4.65637	4.81134	4.71102	4.89513	5.06597	4.75656	4.92466	4.73279	4.84965	4.95768	4.88438	4.5567	4.73336	4.75223	5.07742	4.41307	4.69463	4.44549	4.71939	5.06946	4.65376	4.99685	4.60503	4.7591	4.83955	4.69454	4.89412	4.79625
X4016485	4.14409	3.8535	3.6382	4.68101	3.87923	3.34232	3.86639	3.94821	3.19722	3.87822	3.98045	3.47173	3.18386	3.92363	3.72323	3.71913	3.52742	3.73575	3.55905	4.00309	3.84719	4.46662	4.27588	4.47306	3.23471	3.27724	4.25149	3.45999	4.7592	3.5153	3.80187	3.39657	3.77583	3.70688	4.03546	4.38504	4.61285	3.97959	3.87437	3.69018	3.36395	3.31978	3.88473	3.48873	4.04279	3.93055	3.7308	3.88961	3.91607	3.50647	3.69443	4.04054	4.20241	4.1004	3.92625	3.70587	4.04972	3.73102	3.97711	4.17988	4.0609	3.72815	4.20833	3.49964	4.05734	3.89068	4.16511	4.06326	4.04724	4.55123	4.08664	3.54849	4.14596	3.84971	3.83732	4.179	4.27533	4.3411	3.5373	3.51005	3.50874	3.97339	3.87171
X3832114	5.84512	5.56598	5.43869	5.55985	5.51591	5.45401	5.44708	5.51671	5.2622	5.41841	5.71113	5.86546	5.62104	5.64773	5.81861	5.61909	5.30376	5.28951	5.58171	5.58325	5.79593	5.82888	5.71186	5.71479	5.49786	5.53383	5.73317	5.17316	6.16607	5.59843	5.62635	5.97005	5.79314	5.61603	5.6833	5.53531	5.89647	5.55595	5.62572	5.6056	5.25452	5.38438	5.61222	5.50961	5.57452	5.42944	5.35567	5.57183	5.44815	5.5207	5.77466	5.45889	5.46302	5.25589	5.509	5.45456	5.48362	5.8672	5.76396	5.79774	5.12092	5.40013	5.5751	5.4508	5.54978	5.53672	5.45309	5.80988	5.48738	5.4415	5.75965	5.5039	5.36577	5.75479	5.51069	5.77947	5.47601	5.62088	5.39834	5.58002	5.57942	5.68194	5.65158
