Regulator	Target	MI	pvalue
X4026956	X3865715	0.3716217912385916	0.0
X3453882	X3231846	0.3960720394185479	0.0
X3760137	X3815610	0.3744042261295826	0.0
X3760137	X3960478	0.3644059829690559	0.0
X3656855	X3748026	0.35938479270432677	9.265912245091101E-4
X4026956	X3340913	0.37641763541462103	0.0037508828752628176
X3453882	X3230530	0.36239532916865186	0.0
X3453882	X3755323	0.3676704485711983	7.176481631177012E-11
X3453882	X3666649	0.366858503676538	2.2605917138207587E-11
X3760137	X4012122	0.35324965256222485	0.0
X4026956	X3645683	0.3759231269209592	0.0
X4026956	X3723687	0.43851935894578525	0.0
X3453882	X3192580	0.35775532105521596	7.989975294719898E-7
X4026956	X3656362	0.39578993905121523	0.0
X3453882	X3872969	0.36820567342623867	0.0
X4026956	X3665288	0.3828747557499772	0.0
X3760137	X3230697	0.38027122052778695	0.0
X4026956	X3976689	0.37272238412918346	0.0
X4026956	X3644375	0.44310213319036046	0.0
X4026956	X3458451	0.4079247985264059	0.0
X4026956	X3655012	0.38767290642346114	0.0
X3453882	X3127584	0.37438833020111767	0.0
X4026956	X3397875	0.3726695264303573	0.0
X4026956	X3946889	0.39489721941933253	0.0
X4026956	X3687452	0.40107970593013503	0.0
X3453882	X3336074	0.36406444147544303	0.0
X4026956	X3737488	0.4274674310167839	0.0
X3656855	X3963289	0.3635864332781323	0.0
X3760137	X3403539	0.3665805442603904	0.0
X3453882	X3568108	0.37496540359172903	0.0
X4026956	X3376914	0.3811760940057511	0.0
X3656855	X3807753	0.3704037654006801	0.0
X4026956	X3835935	0.3878755349495366	0.0
X4026956	X3686164	0.38666913457472946	0.0
X3760137	X3302805	0.36353938515097756	1.1338840977259679E-10
X4026956	X3203753	0.3696817812170754	0.0
X4026956	X3873389	0.39181518616409083	0.0
X3656855	X3655826	0.37257349849012483	0.0
X3760137	X4007689	0.3636503092821355	0.0
X4026956	X3980758	0.422084048426684	0.0
X4026956	X3844822	0.38715117281344885	0.0
X3760137	X3837836	0.36090628784302703	0.0
X3453882	X3868064	0.3726052214040019	0.0
X3760137	X3960440	0.37809800089012	0.0
X4026956	X3190737	0.3756624731293826	0.0
X4026956	X3864445	0.4150039053115098	0.0
X4026956	X3865776	0.3903372916933931	0.0
X3760137	X3841076	0.37221551082283966	0.0
X4026956	X3414846	0.3738277653395623	0.0
X4026956	X3336074	0.37187715773857133	0.0
X4026956	X3830205	0.3633968842065262	0.0
X3656855	X3373724	0.3581245856690765	0.0
X3760137	X4009315	0.3573636029781904	0.0
X4026956	X3720636	0.3973533379844748	0.0
X3760137	X3580769	0.3726740003284869	1.786943926163076E-10
X4026956	X3923354	0.36654239031717967	0.0
X4026956	X3375582	0.3645789758902011	0.0
X3453882	X3864597	0.36884864464854267	0.0
X4026956	X3158516	0.37868069250272285	0.0
X3453882	X3474697	0.3751637617802948	0.0
X3760137	X3864597	0.3776989042391579	0.0
X4026956	X3748188	0.3650611953135874	0.0
X4026956	X3939707	0.36808230925805074	0.0
X4026956	X3457947	0.3851000663167431	0.0
X4026956	X3676763	0.42919219709150924	0.0
X4026956	X3604236	0.402790998180632	0.0
X4026956	X3823842	0.3751917620889288	0.0
X4026956	X3847814	0.5105038892308515	0.0
X4026956	X3721926	0.36767539552402634	0.0
X4026956	X3453592	0.4924631360620904	0.0
X3453882	X2900059	0.36644124774423387	1.3301608703386592E-9
X4026956	X3749498	0.3772462381382187	0.0
X4026956	X3655826	0.41173877003974896	0.0
X4026956	X3755323	0.4006733429133496	0.0
X3453882	X3842327	0.3609258246569001	0.0
X4026956	X3357723	0.3992181908361166	0.0
X4026956	X3867400	0.3692200212781265	0.0
X3656855	X3335517	0.35734415007499837	0.0
X3760137	X3189864	0.35581685192718837	0.0
X4026956	X3230530	0.379891432126455	0.0
X3453882	X3656418	0.37899835342779986	0.028708848317609892
X4026956	X3336801	0.3976584505139549	0.0
X4026956	X3415273	0.37316904826654695	0.0
X3453882	X3842379	0.3844742031736052	0.0
X3453882	X3720636	0.3726599130324503	0.0
X3760137	X3189800	0.3676989980104953	0.0
X4026956	X3846594	0.44251327254486494	0.0
X3760137	X3940001	0.35754397725089576	1.3994139180795173E-11
X3760137	X3315265	0.3721476305527303	0.0
X4026956	X3794056	0.3730244911576814	0.0
X3453882	X3708961	0.35915829427428364	0.0
X4026956	X3191176	0.36371555911868975	0.0
