"seqnames"	"start"	"end"	"strand"	"type"	"gene_name"	"transcript_name"	"transcript_biotype"
"3"	48673844	48686364	"-"	"gene"	"NCKIPSD"	NA	NA
"3"	48673844	48685884	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48685637	48685884	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48685637	48685807	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48685805	48685807	"-"	"start_codon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48682903	48683012	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48682903	48683012	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48682348	48682552	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48682348	48682552	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48682045	48682135	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48682045	48682135	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48681287	48681780	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48681287	48681780	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48680059	48680229	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48680059	48680229	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679801	48679887	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679801	48679887	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679575	48679713	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679575	48679713	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679377	48679457	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679377	48679457	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679055	48679183	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48679055	48679183	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48678877	48678969	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48678877	48678969	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48678564	48678736	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48678564	48678736	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48673844	48674747	"-"	"exon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48674547	48674747	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48674544	48674546	"-"	"stop_codon"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48685808	48685884	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48673844	48674543	"-"	"three_prime_utr"	"NCKIPSD"	"NCKIPSD-204"	"protein_coding"
"3"	48673844	48685915	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48685637	48685915	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48685637	48685807	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48685805	48685807	"-"	"start_codon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48682903	48683012	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48682903	48683012	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48682348	48682552	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48682348	48682552	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48682045	48682156	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48682045	48682156	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48681287	48681780	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48681287	48681780	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48680059	48680229	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48680059	48680229	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679801	48679887	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679801	48679887	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679575	48679713	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679575	48679713	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679377	48679457	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679377	48679457	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679055	48679183	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48679055	48679183	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48678877	48678969	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48678877	48678969	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48678564	48678736	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48678564	48678736	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48673844	48674747	"-"	"exon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48674547	48674747	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48674544	48674546	"-"	"stop_codon"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48685808	48685915	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48673844	48674543	"-"	"three_prime_utr"	"NCKIPSD"	"NCKIPSD-201"	"protein_coding"
"3"	48674366	48679121	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48679055	48679121	"-"	"exon"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48679055	48679121	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48678877	48678969	"-"	"exon"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48678877	48678969	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48678554	48678736	"-"	"exon"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48678554	48678736	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48674366	48674747	"-"	"exon"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48674638	48674747	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48674635	48674637	"-"	"stop_codon"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48674366	48674634	"-"	"three_prime_utr"	"NCKIPSD"	"NCKIPSD-202"	"protein_coding"
"3"	48674635	48679714	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-209"	"retained_intron"
"3"	48679575	48679714	"-"	"exon"	"NCKIPSD"	"NCKIPSD-209"	"retained_intron"
"3"	48679377	48679457	"-"	"exon"	"NCKIPSD"	"NCKIPSD-209"	"retained_intron"
"3"	48678877	48679183	"-"	"exon"	"NCKIPSD"	"NCKIPSD-209"	"retained_intron"
"3"	48678564	48678736	"-"	"exon"	"NCKIPSD"	"NCKIPSD-209"	"retained_intron"
"3"	48674635	48674747	"-"	"exon"	"NCKIPSD"	"NCKIPSD-209"	"retained_intron"
"3"	48679076	48681584	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48681287	48681584	"-"	"exon"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48681287	48681584	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48680059	48680229	"-"	"exon"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48680059	48680229	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48679801	48679887	"-"	"exon"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48679801	48679887	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48679575	48679713	"-"	"exon"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48679575	48679713	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48679076	48679183	"-"	"exon"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48679076	48679183	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-203"	"protein_coding"
"3"	48681193	48685835	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48685637	48685835	"-"	"exon"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48685637	48685807	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48685805	48685807	"-"	"start_codon"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48682903	48683012	"-"	"exon"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48682903	48683012	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48682348	48682552	"-"	"exon"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48682348	48682552	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48682045	48682156	"-"	"exon"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48682045	48682156	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48681193	48681780	"-"	"exon"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48681193	48681780	"-"	"CDS"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48685808	48685835	"-"	"five_prime_utr"	"NCKIPSD"	"NCKIPSD-206"	"protein_coding"
"3"	48681530	48685927	"-"	"transcript"	"NCKIPSD"	"NCKIPSD-208"	"nonsense_mediated_decay"
