"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol","chromosome_name","start_position","end_position","Gene.Start.MinusKB","Gene.end.PlusKB"
"ENSG00000187778","ENSG00000164405",0.32728669388861,0,"UQCRQ","MCRS1","5",132202252,132203723,132102252,132303723
"ENSG00000172534","ENSG00000225234",0.419247822447393,0,"TRAPPC12-AS1","HCFC1","2",3485013,3486180,3385013,3586180
"ENSG00000147162","ENSG00000259562",0.383534649881691,0,"RP11-762H8.2","OGT","15",78582869,78583563,78482869,78683563
"ENSG00000187778","ENSG00000138111",0.417187262809516,0,"MFSD13A","MCRS1","10",104221149,104236802,104121149,104336802
"ENSG00000147162","ENSG00000198089",0.376234865904732,0,"SFI1","OGT","22",31884674,32014572,31784674,32114572
"ENSG00000187778","ENSG00000103496",0.372486288519027,0,"STX4","MCRS1","16",31044210,31054296,30944210,31154296
"ENSG00000187778","ENSG00000165733",0.42148900361229,0,"BMS1","MCRS1","10",43278249,43330385,43178249,43430385
"ENSG00000103510","ENSG00000205629",0.423100004505292,0,"LCMT1","KAT8","16",25123050,25189552,25023050,25289552
"ENSG00000147162","ENSG00000261879",0.374733214931379,0,"ZNF594-DT","OGT","17",5095379,5151364,4995379,5251364
"ENSG00000196363","ENSG00000173950",0.402241250145898,0,"XXYLT1","WDR5","3",194789008,194991896,194689008,195091896
"ENSG00000172534","ENSG00000177082",0.360588612617309,0,"WDR73","HCFC1","15",85185999,85197574,85085999,85297574
"ENSG00000187778","ENSG00000165724",0.474222538188579,0,"ZMYND19","MCRS1","9",140476531,140484942,140376531,140584942
"ENSG00000103510","ENSG00000132153",0.424674842195446,0,"DHX30","KAT8","3",47844399,47891685,47744399,47991685
"ENSG00000196363","ENSG00000121022",0.461001721033162,0,"COPS5","WDR5","8",67955314,67996018,67855314,68096018
"ENSG00000196363","ENSG00000145016",0.637515688532924,0,"RUBCN","WDR5","3",197398264,197476598,197298264,197576598
"ENSG00000196363","ENSG00000123685",0.317100011330874,9.78550573904613e-12,"BATF3","WDR5","1",212859760,212873327,212759760,212973327
"ENSG00000196363","ENSG00000160633",0.655695074746046,0,"SAFB","WDR5","19",5623046,5668489,5523046,5768489
"ENSG00000120071","ENSG00000189091",0.454339421695229,0,"SF3B3","KANSL1","16",70557691,70608820,70457691,70708820
"ENSG00000103510","ENSG00000144134",0.386631480713053,0,"RABL2A","KAT8","2",114384806,114400973,114284806,114500973
"ENSG00000147162","ENSG00000260534",0.401143541387581,0,"RP11-1006G14.4","OGT","15",72882032,72884186,72782032,72984186
"ENSG00000196363","ENSG00000171311",0.473677763664918,0,"EXOSC1","WDR5","10",99195899,99205774,99095899,99305774
"ENSG00000187778","ENSG00000213920",0.375641840863791,0,"MDP1","MCRS1","14",24683143,24685276,24583143,24785276
"ENSG00000187778","ENSG00000165757",0.336953561179973,0,"JCAD","MCRS1","10",30301729,30404423,30201729,30504423
"ENSG00000103510","ENSG00000158773",0.463413917335172,0,"USF1","KAT8","1",161009041,161015767,160909041,161115767
"ENSG00000187778","ENSG00000153774",0.34264068724034,0,"CFDP1","MCRS1","16",75327596,75467383,75227596,75567383
"ENSG00000196363","ENSG00000171302",0.418315405538634,0,"CANT1","WDR5","17",76987799,77005949,76887799,77105949
"ENSG00000120071","ENSG00000250251",0.401303978670846,0,"PKD1P6","KANSL1","16",15219099,15248421,15119099,15348421
"ENSG00000196363","ENSG00000171307",0.552225160796766,0,"ZDHHC16","WDR5","10",99205927,99217127,99105927,99317127
"ENSG00000120071","ENSG00000226562",0.356465656967146,0,"CYP4F26P","KANSL1","9",33580693,33605289,33480693,33705289
"ENSG00000196363","ENSG00000172660",0.365534636143161,0.00678963445144776,"TAF15","WDR5","17",34136459,34191619,34036459,34291619
"ENSG00000196363","ENSG00000160688",0.544401289192007,0,"FLAD1","WDR5","1",154955814,154965587,154855814,155065587
"ENSG00000196363","ENSG00000184640",0.345251946873087,1.95710114780923e-11,"SEPTIN9","WDR5","17",75276651,75496678,75176651,75596678
"ENSG00000196363","ENSG00000157020",0.420881005133686,0,"SEC13","WDR5","3",10334815,10362862,10234815,10462862
"ENSG00000147162","ENSG00000198039",0.56079687572609,0,"ZNF273","OGT","7",64330550,64391344,64230550,64491344
"ENSG00000196363","ENSG00000135632",0.482991139414443,0,"SMYD5","WDR5","2",73441350,73454365,73341350,73554365
"ENSG00000187778","ENSG00000140406",0.38774042476298,0,"TLNRD1","MCRS1","15",81293295,81296342,81193295,81396342
"ENSG00000187778","ENSG00000213930",0.336340989608286,0,"GALT","MCRS1","9",34638130,34651032,34538130,34751032
"ENSG00000187778","ENSG00000126107",0.532420493358161,0,"HECTD3","MCRS1","1",45468212,45477001,45368212,45577001
"ENSG00000196363","ENSG00000136950",0.452880194038119,0,"ARPC5L","WDR5","9",127624409,127640003,127524409,127740003
"ENSG00000172534","ENSG00000141084",0.393662966371295,0,"RANBP10","HCFC1","16",67757005,67840555,67657005,67940555
"ENSG00000187778","ENSG00000139428",0.347782679807131,0,"MMAB","MCRS1","12",109991542,110011679,109891542,110111679
"ENSG00000196363","ENSG00000100991",0.428365211670363,0,"TRPC4AP","WDR5","20",33590207,33680674,33490207,33780674
"ENSG00000196363","ENSG00000111640",0.487741672700422,0,"GAPDH","WDR5","12",6643093,6647537,6543093,6747537
"ENSG00000187778","ENSG00000141759",0.401387439677622,0,"TXNL4A","MCRS1","18",77732867,77793949,77632867,77893949
"ENSG00000187778","ENSG00000138107",0.58078090394731,0,"ACTR1A","MCRS1","10",104238986,104262482,104138986,104362482
"ENSG00000196363","ENSG00000197951",0.49194104917275,0,"ZNF71","WDR5","19",57106632,57137849,57006632,57237849
"ENSG00000187778","ENSG00000138100",0.336693959555877,0,"TRIM54","MCRS1","2",27505260,27530307,27405260,27630307
"ENSG00000196363","ENSG00000160695",0.469121118068296,0,"VPS11","WDR5","11",118938403,118952688,118838403,119052688
"ENSG00000196363","ENSG00000111653",0.503704460773875,0,"ING4","WDR5","12",6759446,6772314,6659446,6872314
"ENSG00000196363","ENSG00000112983",0.420105097926789,0,"BRD8","WDR5","5",137475455,137514675,137375455,137614675
"ENSG00000196363","ENSG00000136930",0.486472341461754,0,"PSMB7","WDR5","9",127115745,127177723,127015745,127277723
"ENSG00000187778","ENSG00000163159",0.449268339574419,0,"VPS72","MCRS1","1",151142463,151167797,151042463,151267797
"ENSG00000187778","ENSG00000151176",0.422738566776955,0,"PLBD2","MCRS1","12",113796371,113827203,113696371,113927203
"ENSG00000187778","ENSG00000176472",0.395080766310066,0,"ZNF575","MCRS1","19",44029649,44040282,43929649,44140282
"ENSG00000187778","ENSG00000176473",0.459881084788708,0,"WDR25","MCRS1","14",100842755,100996640,100742755,101096640
"ENSG00000196363","ENSG00000205250",0.643593246712254,0,"E2F4","WDR5","16",67226072,67232821,67126072,67332821
"ENSG00000172534","ENSG00000181982",0.435707908515106,0,"CCDC149","HCFC1","4",24807739,24981826,24707739,25081826
"ENSG00000187778","ENSG00000187135",0.391173434890137,0,"VSTM2B","MCRS1","19",30017406,30055386,29917406,30155386
"ENSG00000187778","ENSG00000249915",0.431327327630918,0,"PDCD6","MCRS1","5",271736,353971,171736,453971
"ENSG00000187778","ENSG00000163170",0.400679117303317,0,"BOLA3","MCRS1","2",74362525,74375121,74262525,74475121
"ENSG00000103510","ENSG00000215021",0.387487266120272,0,"PHB2","KAT8","12",7074490,7079988,6974490,7179988
"ENSG00000120071","ENSG00000167674",0.474584559244029,0,"HDGFL2","KANSL1","19",4472284,4502223,4372284,4602223
"ENSG00000187778","ENSG00000225986",0.320889076251715,0,"RP3-340N1.5","MCRS1","1",20510735,20512979,20410735,20612979
"ENSG00000187778","ENSG00000225978",0.347543360958079,0,"HAR1A","MCRS1","20",61733483,61735738,61633483,61835738
"ENSG00000187778","ENSG00000187118",0.329918339577857,0,"CMC1","MCRS1","3",28283075,28366633,28183075,28466633
"ENSG00000147162","ENSG00000163374",0.390641164322657,0,"YY1AP1","OGT","1",155629237,155658791,155529237,155758791
"ENSG00000187778","ENSG00000175137",0.511450929411989,0,"SH3BP5L","MCRS1","1",249104648,249120832,249004648,249220832
"ENSG00000196363","ENSG00000063438",0.320972113598469,0,"AHRR","WDR5","5",304291,438406,204291,538406
"ENSG00000187778","ENSG00000163161",0.535894877296559,0,"ERCC3","MCRS1","2",128014866,128051752,127914866,128151752
"ENSG00000172534","ENSG00000129351",0.48849340763406,0,"ILF3","HCFC1","19",10764937,10803093,10664937,10903093
"ENSG00000103510","ENSG00000205670",0.346175051648625,0,"SMIM11","KAT8","21",35747779,35780164,35647779,35880164
"ENSG00000187778","ENSG00000222019",0.416952713161538,0,"URAHP","MCRS1","16",90106169,90114181,90006169,90214181
"ENSG00000196363","ENSG00000173915",0.36470235764415,0,"ATP5MK","WDR5","10",105148798,105156223,105048798,105256223
"ENSG00000172534","ENSG00000167625",0.413217264347971,0,"ZNF526","HCFC1","19",42724423,42732353,42624423,42832353
"ENSG00000187778","ENSG00000152464",0.341647861484224,3.71849218083753e-11,"RPP38","MCRS1","10",15139179,15181817,15039179,15281817
"ENSG00000196363","ENSG00000121073",0.441915395317528,0,"SLC35B1","WDR5","17",47778305,47786376,47678305,47886376
"ENSG00000187778","ENSG00000236668",0.314988175556815,0,"LHX2-AS1","MCRS1","9",126768556,126771675,126668556,126871675
